Wonder,Location,Year
Great Pyramid of Giza (honorary status),"Giza Necropolis, Egypt",2560 BC
Great Wall of China,China,700 BC
Petra,"Ma'an, Jordan",312 BC
Colosseum,"Rome, Italy",80 AD
Chichen Itza,"Yucatán, Mexico",600 AD
Machu Picchu,"Cuzco Region, Peru",1450 AD
Taj Mahal,"Agra, Uttar Pradesh, India",1643 AD
Christ the Redeemer,"Rio de Janeiro, Brazil",1931 AD
